cell,true_label,cluster
A1.B003290.3_38_F.1.1,astrocyte,6
A1.B003728.3_56_F.1.1,astrocyte,2
A1.MAA000560.3_10_M.1.1,oligodendrocyte,0
A1.MAA000564.3_10_M.1.1,endothelial cell,1
A1.MAA000923.3_9_M.1.1,astrocyte,2
A1.MAA000930.3_8_M.1.1,oligodendrocyte,2
A1.MAA000932.3_11_M.1.1,endothelial cell,1
A1.MAA000940.3_8_M.1.1,neuron,3
A1.MAA001854.3_38_F.1.1,oligodendrocyte,6
A1.MAA001894.3_39_F.1.1,endothelial cell,1
A1.MAA001895.3_38_F.1.1,endothelial cell,1
A10.B003290.3_38_F.1.1,endothelial cell,1
A10.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,5
A10.MAA000641.3_9_M.1.1,oligodendrocyte,6
A10.MAA000926.3_9_M.1.1,astrocyte,2
A10.MAA000930.3_8_M.1.1,oligodendrocyte precursor cell,5
A10.MAA000932.3_11_M.1.1,endothelial cell,1
A10.MAA000935.3_8_M.1.1,oligodendrocyte,6
A10.MAA000941.3_8_M.1.1,oligodendrocyte,0
A10.MAA000944.3_9_M.1.1,oligodendrocyte,0
A10.MAA001853.3_38_F.1.1,endothelial cell,1
A10.MAA001854.3_38_F.1.1,oligodendrocyte,6
A11.B000404.3_56_F.1.1,astrocyte,6
A11.B003275.3_38_F.1.1,endothelial cell,1
A11.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,5
A11.MAA000561.3_10_M.1.1,oligodendrocyte precursor cell,6
A11.MAA000564.3_10_M.1.1,neuron,3
A11.MAA000641.3_9_M.1.1,oligodendrocyte,6
A11.MAA000902.3_11_M.1.1,oligodendrocyte,0
A11.MAA000923.3_9_M.1.1,astrocyte,2
A11.MAA000926.3_9_M.1.1,endothelial cell,1
A11.MAA000928.3_9_M.1.1,Bergmann glial cell,2
A11.MAA000930.3_8_M.1.1,oligodendrocyte,0
A11.MAA000932.3_11_M.1.1,endothelial cell,1
A11.MAA000942.3_8_M.1.1,neuron,3
A11.MAA000944.3_9_M.1.1,astrocyte,2
A12.B001688.3_38_F.1.1,oligodendrocyte precursor cell,5
A12.B003275.3_38_F.1.1,endothelial cell,1
A12.B003290.3_38_F.1.1,endothelial cell,1
A12.MAA000560.3_10_M.1.1,oligodendrocyte,0
A12.MAA000581.3_10_M.1.1,endothelial cell,1
A12.MAA000615.3_10_M.1.1,neuron,3
A12.MAA000641.3_9_M.1.1,oligodendrocyte,6
A12.MAA000926.3_9_M.1.1,oligodendrocyte precursor cell,5
A12.MAA000930.3_8_M.1.1,astrocyte,2
A12.MAA000935.3_8_M.1.1,oligodendrocyte,0
A12.MAA000941.3_8_M.1.1,oligodendrocyte,0
A12.MAA000944.3_9_M.1.1,oligodendrocyte,0
A12.MAA001854.3_38_F.1.1,oligodendrocyte,6
A13.B003275.3_38_F.1.1,endothelial cell,1
A13.B003290.3_38_F.1.1,endothelial cell,1
A13.MAA000424.3_11_M.1.1,neuron,3
A13.MAA000560.3_10_M.1.1,astrocyte,2
A13.MAA000563.3_10_M.1.1,oligodendrocyte,0
A13.MAA000615.3_10_M.1.1,neuron,5
A13.MAA000923.3_9_M.1.1,astrocyte,2
A13.MAA000930.3_8_M.1.1,oligodendrocyte,0
A13.MAA000941.3_8_M.1.1,endothelial cell,1
A13.MAA000944.3_9_M.1.1,endothelial cell,1
A14.B003274.3_38_F.1.1,oligodendrocyte,6
A14.B003275.3_38_F.1.1,endothelial cell,1
A14.B003290.3_38_F.1.1,endothelial cell,1
A14.B003728.3_56_F.1.1,oligodendrocyte,0
A14.MAA000560.3_10_M.1.1,oligodendrocyte,0
A14.MAA000561.3_10_M.1.1,neuron,5
A14.MAA000581.3_10_M.1.1,brain pericyte,4
A14.MAA000926.3_9_M.1.1,oligodendrocyte,0
A14.MAA000930.3_8_M.1.1,brain pericyte,4
A14.MAA000942.3_8_M.1.1,neuron,3
A14.MAA000944.3_9_M.1.1,oligodendrocyte,6
A14.MAA000947.3_9_M.1.1,brain pericyte,4
A14.MAA001845.3_39_F.1.1,endothelial cell,1
A15.B003275.3_38_F.1.1,oligodendrocyte,1
A15.B003277.3_39_F.1.1,oligodendrocyte,6
A15.B003290.3_38_F.1.1,endothelial cell,1
A15.MAA000560.3_10_M.1.1,astrocyte,2
A15.MAA000561.3_10_M.1.1,brain pericyte,4
A15.MAA000581.3_10_M.1.1,endothelial cell,1
A15.MAA000641.3_9_M.1.1,oligodendrocyte,6
A15.MAA000930.3_8_M.1.1,endothelial cell,1
A15.MAA000941.3_8_M.1.1,endothelial cell,1
A15.MAA000942.3_8_M.1.1,neuron,3
A15.MAA000944.3_9_M.1.1,astrocyte,2
A15.MAA001895.3_38_F.1.1,endothelial cell,1
A16.B003275.3_38_F.1.1,oligodendrocyte,3
A16.MAA000560.3_10_M.1.1,oligodendrocyte,0
A16.MAA000561.3_10_M.1.1,neuron,3
A16.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,6
A16.MAA000581.3_10_M.1.1,endothelial cell,1
A16.MAA000641.3_9_M.1.1,oligodendrocyte,6
A16.MAA000902.3_11_M.1.1,oligodendrocyte,6
A16.MAA000930.3_8_M.1.1,astrocyte,2
A16.MAA000932.3_11_M.1.1,endothelial cell,1
A16.MAA000935.3_8_M.1.1,oligodendrocyte,6
A16.MAA000941.3_8_M.1.1,neuron,5
A16.MAA000942.3_8_M.1.1,neuron,3
A16.MAA000944.3_9_M.1.1,neuron,3
A16.MAA001894.3_39_F.1.1,astrocyte,2
A17.B003275.3_38_F.1.1,oligodendrocyte,4
A17.B003290.3_38_F.1.1,neuron,3
A17.MAA000560.3_10_M.1.1,astrocyte,2
A17.MAA000561.3_10_M.1.1,neuron,3
A17.MAA000581.3_10_M.1.1,endothelial cell,1
A17.MAA000641.3_9_M.1.1,oligodendrocyte,6
A17.MAA001895.3_38_F.1.1,endothelial cell,1
A18.B000621.3_56_F.1.1,oligodendrocyte,6
A18.MAA000560.3_10_M.1.1,oligodendrocyte,0
A18.MAA000561.3_10_M.1.1,neuron,3
A18.MAA000578.3_10_M.1.1,oligodendrocyte,0
A18.MAA000581.3_10_M.1.1,endothelial cell,1
A18.MAA000926.3_9_M.1.1,oligodendrocyte,0
A18.MAA000930.3_8_M.1.1,endothelial cell,1
A18.MAA000932.3_11_M.1.1,oligodendrocyte,0
